#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    08:18:08       0     73     30     55      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    08:18:08       1     73     31     31      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    08:18:09       0     54     29     54      0      0      0      0      0      0   1215    345      0      0      0      1      0      0      0      0      0      0 
 20260909    08:18:09       1     54     30     31      0      0      0      0      0      0   1215    240      0      0      0      1      0      0      0      0      0      0 
 20260909    08:18:10       0     51     28     54      0      0      0      0      0      0   1215    225      0      0      4      4      0      0      0      0      0      0 
 20260909    08:18:10       1     54     29     30      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:18:11       0     51     28     54      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    08:18:11       1     54     29     30      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:18:12       0     51     28     53      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:18:12       1     54     29     30      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      2      0 
 20260909    08:18:13       0     51     27     53      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    08:18:13       1     53     29     29      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:18:14       0     51     27     53      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:18:14       1     53     28     29      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:18:16       0     51     27     53      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    08:18:16       1     53     28     29      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:18:17       0     51     27     53      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:18:17       1     53     28     28      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:18:18       0     51     27     53      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    08:18:18       1     53     28     28      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:18:19       0     51     26     52      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:18:19       1     53     28     28      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    08:18:20       0     51     26     52      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    08:18:20       1     53     27     28      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
