#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260909    10:39:00       0     81     52     52     33      1      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:39:00       1     80     45     44      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      0 
 20260909    10:39:00       2     53     31     33      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      1 
 20260909    10:39:00       3     52     31     32      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      0 
 20260909    10:39:01       0     81     51     51      0      0      0      0      0      0   1215   1410      0      0      0      1      0      0      0      0      0      1 
 20260909    10:39:01       1     58     44     43      0      0      0      0      0      0   1215    225      0      0      0      1      0      0      0      0      0      0 
 20260909    10:39:01       2     53     31     33      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0      1 
 20260909    10:39:01       3     52     31     32      0      0      0      0      0      0   1215    210      0      0      0      1      0      0      0      0      0     12 
 20260909    10:39:02       0     60     50     51      0      0      0      0      0      0   1215    750      0      0      4      4      0      0      0      0      0      0 
 20260909    10:39:02       1     60     43     43      0      0      0      0      0      0   1215    735      0      0      4      4      0      0      0      0      0      0 
 20260909    10:39:02       2     54     31     33      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:39:02       3     52     31     32      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0     16     32 
 20260909    10:39:04       0     58     49     50      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
 20260909    10:39:04       1     57     42     42      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      1 
 20260909    10:39:04       2     53     31     33      0      0      0      0      0      0   1215    210      0      0      4      4      0      0      0      0      0      0 
